City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,79.0,overcast clouds,-9.8,-139.0333,Villa Enata
5,Faanui,PF,79.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
6,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,Alta Floresta,BR,77.79,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
15,Katobu,ID,76.32,overcast clouds,-4.9408,122.5276,La Ode Husein
23,Mhango,TZ,78.08,overcast clouds,-3.2833,32.85,
27,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Edd,ER,82.09,broken clouds,13.9297,41.6925,
29,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,Rikitea,PF,78.78,overcast clouds,-23.1203,-134.9692,People ThankYou
35,Oriximina,BR,79.38,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
36,Puerto Ayora,EC,78.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Huambo,AO,76.8,scattered clouds,-12.7761,15.7392,SiSHotel
42,Kavieng,PG,82.17,light rain,-2.5744,150.7967,Nusa Island Retreat
45,Inhambane,MZ,87.78,few clouds,-23.865,35.3833,Oceano
46,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
48,Port Elizabeth,ZA,76.32,clear sky,-33.918,25.5701,39 On Nile Guest House
53,Maturin,VE,82.4,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
54,Jamui,IN,88.41,clear sky,24.9167,86.2167,hotel sneha
56,Port Alfred,ZA,75.49,scattered clouds,-33.5906,26.891,The Halyards Hotel
58,Kudahuvadhoo,MV,83.82,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
60,Bredasdorp,ZA,77.61,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
62,Kankon,IN,84.0,broken clouds,15.0167,74.0167,Palolem Beach Resort
64,Mahibadhoo,MV,83.39,clear sky,3.7833,72.9667,Omadhoo Inn
69,Butaritari,KI,80.6,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
79,Trairi,BR,83.28,overcast clouds,-3.2778,-39.2689,janelas do mar
84,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
93,Bubaque,GW,76.35,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
94,Esperanza,DO,75.29,clear sky,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
95,Nabire,ID,76.6,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
105,Fare,PF,80.17,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
115,Cape Town,ZA,79.11,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
117,Kavaratti,IN,83.98,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
125,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
134,Bani,DO,76.86,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
