City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodinsk,RU,2022-03-23 20:01:36,58.6881,99.1844,8.17,98,88,3.89
1,Ushuaia,AR,2022-03-23 20:01:36,-54.8,-68.3,43.48,83,100,8.25
2,Lavrentiya,RU,2022-03-23 20:01:37,65.5833,-171.0,0.97,75,1,4.41
3,Novosheshminsk,RU,2022-03-23 20:01:37,55.0651,51.2338,31.1,89,94,7.31
4,Sosnogorsk,RU,2022-03-23 20:01:37,63.6023,53.8817,18.84,87,82,7.52
5,Kavieng,PG,2022-03-23 20:01:37,-2.5744,150.7967,81.45,79,100,8.81
6,Jamestown,US,2022-03-23 19:57:52,42.097,-79.2353,43.52,10,81,19.1
7,Ust-Kuyga,RU,2022-03-23 20:01:38,70.0167,135.6,-1.79,100,100,3.0
8,Hofn,IS,2022-03-23 20:01:13,64.2539,-15.2082,35.96,79,100,4.27
9,Salekhard,RU,2022-03-23 20:01:38,66.53,66.6019,17.65,87,100,9.33
10,Isangel,VU,2022-03-23 20:01:38,-19.55,169.2667,79.07,85,100,1.36
11,Puerto Ayora,EC,2022-03-23 20:01:38,-0.7393,-90.3518,83.55,85,69,8.99
12,Tyrma,RU,2022-03-23 20:01:39,50.0833,132.1667,7.09,99,97,1.86
13,Castro,BR,2022-03-23 20:01:04,-24.7911,-50.0119,72.03,76,81,7.87
14,Tiksi,RU,2022-03-23 20:01:39,71.6872,128.8694,-14.93,100,57,3.62
15,Tautira,PF,2022-03-23 20:01:39,-17.7333,-149.15,80.13,74,72,12.06
16,Svirstroy,RU,2022-03-23 20:01:39,60.7999,33.7248,19.4,100,78,2.75
17,Ancud,CL,2022-03-23 20:01:40,-41.8697,-73.8203,55.22,59,62,13.49
18,Albany,US,2022-03-23 20:00:18,42.6001,-73.9662,46.42,38,100,4.79
19,Atuona,PF,2022-03-23 20:01:40,-9.8,-139.0333,78.93,82,93,16.71
20,Gundlupet,IN,2022-03-23 20:01:40,11.8,76.6833,74.23,74,100,0.63
21,Busselton,AU,2022-03-23 20:01:40,-33.65,115.3333,55.56,82,0,12.19
22,Mataura,NZ,2022-03-23 20:01:41,-46.1927,168.8643,52.39,98,100,6.13
23,Rikitea,PF,2022-03-23 20:01:41,-23.1203,-134.9692,79.95,71,41,15.46
24,San Antonio,US,2022-03-23 20:00:06,29.4241,-98.4936,72.07,17,91,1.01
25,Krasnogorsk,RU,2022-03-23 19:56:53,55.8225,37.3181,37.74,55,0,2.24
26,Santa Luzia,BR,2022-03-23 20:01:41,-19.7697,-43.8514,77.9,70,84,6.8
27,Bredasdorp,ZA,2022-03-23 20:01:42,-34.5322,20.0403,69.33,79,79,5.77
28,Pereslavl-Zalesskiy,RU,2022-03-23 20:01:42,56.7393,38.8563,26.76,96,69,3.44
29,Latung,PH,2022-03-23 20:01:42,5.5,120.8833,81.64,76,100,3.36
30,North Bend,US,2022-03-23 20:01:42,43.4065,-124.2243,61.92,88,65,8.14
31,Sao Joao Da Barra,BR,2022-03-23 20:01:43,-21.6403,-41.0511,77.54,68,21,9.93
32,Vila Velha,BR,2022-03-23 20:00:28,-20.3297,-40.2925,78.94,74,98,1.99
33,Palmer,US,2022-03-23 20:01:43,42.1584,-72.3287,50.5,28,100,1.99
34,Vvedenskoye,RU,2022-03-23 20:01:43,55.4753,65.0847,32.02,91,100,15.21
35,Aldan,RU,2022-03-23 20:01:43,58.6031,125.3894,7.88,91,92,6.24
36,Morgantown,US,2022-03-23 19:57:08,39.6295,-79.9559,73.35,70,98,5.01
37,Qaanaaq,GL,2022-03-23 20:01:44,77.484,-69.3632,-4.07,91,100,6.69
38,Gao,ML,2022-03-23 20:01:44,16.6362,1.637,86.58,7,93,13.06
39,Camacha,PT,2022-03-23 20:01:44,33.0833,-16.3333,56.62,67,40,18.41
40,Bethel,US,2022-03-23 19:58:49,41.3712,-73.414,48.18,48,100,4.0
41,Iqaluit,CA,2022-03-23 20:01:45,63.7506,-68.5145,10.0,75,100,7.96
42,San Rafael,AR,2022-03-23 20:01:02,-34.6177,-68.3301,68.4,31,2,30.4
43,Taltal,CL,2022-03-23 20:00:30,-25.4,-70.4833,69.67,67,4,9.44
44,Hobart,AU,2022-03-23 20:00:08,-42.8794,147.3294,57.06,73,20,12.66
45,Ixtapa,MX,2022-03-23 20:00:27,20.7,-105.2,89.69,17,22,8.52
46,Vaini,TO,2022-03-23 20:02:45,-21.2,-175.2,79.41,79,97,10.36
47,East London,ZA,2022-03-23 20:00:34,-33.0153,27.9116,71.98,80,100,6.96
48,Tuatapere,NZ,2022-03-23 20:02:45,-46.1333,167.6833,54.57,84,100,13.02
49,Bluff,NZ,2022-03-23 20:02:45,-46.6,168.3333,57.36,77,100,29.82
50,Lyubinskiy,RU,2022-03-23 20:02:46,55.1542,72.6925,24.48,91,98,14.27
51,Hithadhoo,MV,2022-03-23 20:02:46,-0.6,73.0833,83.57,66,7,14.92
52,Cape Town,ZA,2022-03-23 20:00:05,-33.9258,18.4232,70.12,75,34,14.58
53,New Norfolk,AU,2022-03-23 20:02:46,-42.7826,147.0587,56.7,64,25,4.0
54,Hermanus,ZA,2022-03-23 20:02:47,-34.4187,19.2345,69.8,86,100,7.47
